ID,Name,BirthDate,Pos,NHL,HockeyDB,PuckPedia
bastina01,Nathan Bastian,1997-12-06,RW,DAL,172805,nathan-bastian
bathedr01,Drake Batherson,1998-04-27,C,OTT,186230,drake-batherson
bayrega01,Gavin Bayreuther,1994-05-12,D,CBJ,160531,gavin-bayreuther
beanja01,Jake Bean,1998-06-09,D,CGY,177019,jake-bean
bearca01,Carter Bear,2006-11-04,LW,DET,264349,carter-bear
bearet01,Ethan Bear,1997-06-26,D,WSH,164825,ethan-bear
beaudco01,Cole Beaudoin,2006-04-24,C,NYR,251173,cole-beaudoin
beauvan01,Anthony Beauvillier,1997-06-08,LW,WSH,169563,anthony-beauvillier
beckow01,Owen Beck,2004-02-03,C,MTL,232378,owen-beck
bedarco01,Connor Bedard,2005-07-17,C,CHI,240679,connor-bedard
bedkoda01,David Bedkowski,2006-12-07,D,BUF,262215,david-bedkowski
beechjo01,John Beecher,2001-04-05,C,CGY,209481,john-beecher
behrese01,Sean Behrens,2003-03-31,D,COL,228206,sean-behrens
belchet01,Ethan Belchetz,2008-03-30,LW,UTA,284384,ethan-belchetz
bellewi01,William Belle,2007-01-14,RW,TOR,271166,william-belle
benakad01,Adam Benak,2007-04-10,C,MIN,269127,adam-benak
beniema01,Matty Beniers,2002-11-05,C,SEA,217370,matty-beniers
bennesa01,Sam Bennett,1996-06-20,C,FLA,160252,sam-bennett
bennima01,Matt Benning,1994-05-25,D,TOR,139599,matt-benning
bennimi01,Michael Benning,2002-01-05,D,FLA,215692,michael-benning
bennja01,Jamie Benn,1989-07-18,LW,DAL,102290,jamie-benn
benoisi01,Simon Benoit,1998-09-19,D,TOR,186185,simon-benoit
bensoza01,Zach Benson,2005-05-12,LW,BUF,240680,zach-benson
berarbr02,Brett Berard,2002-09-09,LW,NYR,217360,brett-berard
berezma01,Maksim Berezkin,2001-10-12,LW,EDM,232665,maksim-berezkin
berggjo02,Jonatan Berggren,2000-07-16,RW,STL,210840,jonatan-berggren
berglja01,Jack Berglund,2006-04-10,F,PHI,266474,jack-berglund
bernaja01,Jacob Bernard-Docker,2000-06-30,D,DET,195426,jacob-bernard-docker
bertutr01,Tristan Bertucci,2005-07-12,D,DAL,248864,tristan-bertucci
bertuty01,Tyler Bertuzzi,1995-02-24,LW,CHI,145020,tyler-bertuzzi
berzkru01,Rudolfs Berzkalns,2008-03-03,C,EDM,288026,rudolfs-berzkalns
bichsli01,Lian Bichsel,2004-05-18,D,DAL,238586,lian-bichsel
binnijo01,Jordan Binnington,1993-07-11,G,STL,121736,jordan-binnington
bjarnca01,Carson Bjarnason,2005-06-30,G,PHI,248080,carson-bjarnason
bjorcvi01,Viggo Bjorck,2008-03-12,C,WPG,286518,viggo-bjorck
bjorkol01,Oliver Bjorkstrand,1995-04-10,RW,TBL,155408,oliver-bjorkstrand
bjornto01,Tobias Björnfot,2001-04-06,D,FLA,222896,tobias-bjornfot
bjugsni01,Nick Bjugstad,1992-07-17,C,NJD,127782,nick-bjugstad
blackco01,Colin Blackwell,1993-03-28,C,DAL,143113,colin-blackwell
blackma01,Mackenzie Blackwood,1996-12-09,G,COL,162424,mackenzie-blackwood
blaissa01,Sammy Blais,1996-06-17,LW,OTT,171529,sammy-blais
blakeja02,Jackson Blake,2003-08-03,RW,CAR,238085,jackson-blake
blankni01,Nick Blankenburg,1998-05-12,D,COL,207892,nick-blankenburg
bleylth01,Thomas Bleyl,2007-12-01,D,NSH,290848,thomas-bleyl
blidhan01,Anton Blidh,1995-03-14,LW,NYR,168020,anton-blidh
blomqjo01,Joel Blomqvist,2002-01-10,G,PIT,229784,joel-blomqvist
bluegte01,Teddy Blueger,1994-08-15,C,VAN,155334,teddy-blueger
blumema01,Matěj Blümel,2000-05-31,RW,BOS,209494,matej-blumel
bobrose01,Sergei Bobrovsky,1988-09-20,G,FLA,98874,sergei-bobrovsky
boesebr01,Brock Boeser,1997-02-25,RW,VAN,172649,brock-boeser
bogosza01,Zach Bogosian,1990-07-15,D,MIN,96505,zach-bogosian
boisvsa01,Sacha Boisvert,2006-03-17,F,CHI,261371,sacha-boisvert
bolduza01,Zachary Bolduc,2003-02-24,C,MTL,227918,zachary-bolduc
boldyma01,Matt Boldy,2001-04-05,LW,MIN,209491,matt-boldy
bonkol01,Oliver Bonk,2005-01-09,D,PHI,250657,oliver-bonk
boothan01,Angus Booth,2004-04-27,D,LAK,235285,angus-booth
boqviad01,Adam Boqvist,2000-08-15,D,NYI,210177,adam-boqvist
boqvije01,Jesper Boqvist,1998-10-30,C,FLA,192047,jesper-boqvist
borgewi01,William Borgen,1996-12-19,D,NYR,178955,william-borgen
bouchev01,Evan Bouchard,1999-10-20,D,EDM,180272,evan-bouchard
boumesa01,Sascha Boumedienne,2007-01-17,D,WPG,269660,sascha-boumedienne
bourgxa01,Xavier Bourgault,2002-10-22,C,OTT,216525,xavier-bourgault
bourqma01,Mavrik Bourque,2002-01-08,C,DAL,216527,mavrik-bourque
bowmabr01,Braeden Bowman,2003-06-26,F,VEG,229976,braeden-bowman
brandmi01,Michael Brandsegg-Nygard,2005-10-05,F,DET,260118,michael-brandsegg-nygard
brattje01,Jesper Bratt,1998-07-30,W,NJD,180836,jesper-bratt
brazeju01,Justin Brazeau,1998-02-02,F,PIT,187102,justin-brazeau
brindga01,Gavin Brindley,2004-10-05,C,COL,238086,gavin-brindley
brindsk01,Skyler Brind'Amour,1999-07-27,C,CAR,200399,skyler-brindamour
brinkbo01,Bobby Brink,2001-07-08,RW,MIN,213331,bobby-brink
brissbr01,Brendan Brisson,2001-10-22,C,NYR,217088,brendan-brisson
brobeph01,Philip Broberg,2001-06-25,D,STL,218397,philip-broberg
brodijo01,Jonas Brodin,1993-07-12,D,MIN,127571,jonas-brodin
broditj01,T.J. Brodie,1990-06-07,D,CGY,96809,tj-brodie
brodzjo01,Jonny Brodzinski,1993-06-19,C,NYR,139946,jonny-brodzinski
brossla01,Laurent Brossoit,1993-03-23,G,ANA,118258,laurent-brossoit
brownco02,Connor Brown,1994-01-14,RW,NJD,130232,connor-brown
brownjo01,Josh Brown,1994-01-21,D,EDM,130517,josh-brown
broztr01,Tristan Broz,2002-10-10,C,PIT,224612,tristan-broz
brunefr01,Frederic Brunet,2003-08-21,D,BOS,230637,frederic-brunet
bruniha01,Harrison Brunicke,2006-05-08,D,PIT,252115,harrison-brunicke
brysoja01,Jacob Bryson,1997-11-18,D,WPG,187489,jacob-bryson
brzushe01,Henry Brzustewicz,2007-02-09,D,LAK,271119,henry-brzustewicz
brzushu01,Hunter Brzustewicz,2004-11-29,D,CGY,247713,hunter-brzustewicz
buchedm01,Dmitri Buchelnikov,2003-09-06,LW,DET,257932,dmitri-buchelnikov
buchnpa01,Pavel Buchnevich,1995-04-17,LW,STL,159355,pavel-buchnevich
buiumsh01,Shai Buium,2003-03-26,D,DET,231730,shai-buium
buiumze01,Zeev Buium,2005-12-07,D,VAN,248116,zeev-buium
bumpal01,Alex Bump,2003-11-20,LW,PHI,247285,alex-bump
buntimi01,Michael Bunting,1995-09-17,LW,DAL,170104,michael-bunting
burakan01,André Burakovsky,1995-02-09,LW,CHI,152839,andre-burakovsky
burnsbr01,Brent Burns,1985-03-09,D,COL,71733,brent-burns
bussibr01,Brandon Bussi,1998-06-25,G,CAR,195617,brandon-bussi
butda01,Danil But,2005-02-15,LW,UTA,265421,danil-but
buteyvy01,Vyacheslav Buteyets,2002-05-29,G,ANA,257934,vyacheslav-buteyets
byfiequ01,Quinton Byfield,2002-08-19,C,LAK,210630,quinton-byfield
byrambo01,Bowen Byram,2001-06-13,D,BUF,196997,bowen-byram
bystefi01,Filip Bystedt,2004-02-04,C,SJS,239563,filip-bystedt
cagnolu01,Luca Cagnoni,2004-12-21,D,SJS,232318,luca-cagnoni
caliry01,Ryder Cali,2008-09-06,C,FLA,273919,ryder-cali
callami02,Michael Callahan,1999-09-23,D,BOS,202505,michael-callahan
capobky01,Kyle Capobianco,1997-08-13,D,DAL,161693,kyle-capobianco
carboju01,Justin Carbonneau,2006-11-25,RW,STL,264854,justin-carbonneau
carcomi01,Michael Carcone,1996-05-19,F,UTA,169554,michael-carcone
cardwet01,Ethan Cardwell,2002-08-30,RW,SJS,211362,ethan-cardwell
carelca01,Carson Carels,2008-06-23,D,CGY,272662,carson-carels
carlide01,Declan Carlile,2000-05-18,D,PIT,207499,declan-carlile
carlobr01,Brandon Carlo,1996-11-26,D,TOR,161688,brandon-carlo
carlsjo01,John Carlson,1990-01-10,D,ANA,99508,john-carlson
carlsle01,Leo Carlsson,2004-12-26,C,ANA,244172,leo-carlsson
carrial01,Alexandre Carrier,1996-10-08,D,MTL,160343,alexandre-carrier
carrisa01,Sam Carrick,1992-02-04,C,BUF,116018,sam-carrick
carriwi01,William Carrier,1994-12-20,LW,CAR,129676,william-carrier
caseyse01,Seamus Casey,2004-01-08,D,NJD,238267,seamus-casey
catafma01,Mathieu Cataford,2005-03-01,C,VEG,248027,mathieu-cataford
catesno01,Noah Cates,1999-02-05,LW,PHI,192490,noah-cates
cattobe01,Berkly Catton,2006-01-14,F,SEA,251854,berkly-catton
caufico01,Cole Caufield,2001-01-02,RW,MTL,209488,cole-caufield
cecico01,Cody Ceci,1993-12-21,D,LAK,121792,cody-ceci
celebma01,Macklin Celebrini,2006-06-13,F,SJS,261744,macklin-celebrini
cernaer01,Erik Černák,1997-05-28,D,TBL,176845,erik-cernak
cerrach01,Charlie Cerrato,2005-03-10,C,CAR,251070,charlie-cerrato
chaboth01,Thomas Chabot,1997-01-30,D,OTT,169575,thomas-chabot
chadwno01,Noah Chadwick,2005-05-10,D,TOR,249926,noah-chadwick
chaffmi01,Mitchell Chaffee,1998-01-26,F,TBL,187682,mitchell-chaffee
chatfja01,Jalen Chatfield,1996-05-16,D,CAR,177555,jalen-chatfield
chernig01,Igor Chernyshov,2005-11-30,LW,SJS,265415,igor-chernyshov
cheslry01,Ryan Chesley,2004-02-27,D,WSH,238268,ryan-chesley
chiarbe01,Ben Chiarot,1991-05-09,D,DET,106801,ben-chiarot
chibrni01,Nikita Chibrikov,2003-02-16,RW,WPG,235047,nikita-chibrikov
chinaye01,Egor Chinakhov,2001-02-01,RW,PIT,233632,egor-chinakhov
chishde01,Declan Chisholm,2000-01-12,D,WSH,195850,declan-chisholm
chmelja01,Jaroslav Chmelar,2003-07-20,RW,NYR,241762,jaroslav-chmelar
cholode01,Dennis Cholowski,1998-02-15,D,NJD,172263,dennis-cholowski
chrisja01,Jake Christiansen,1999-09-12,D,CBJ,187311,jake-christiansen
chromma01,Martin Chromiak,2002-08-20,RW,LAK,218086,martin-chromiak
chychja01,Jakob Chychrun,1998-03-31,D,WSH,177557,jakob-chychrun
chytifi01,Filip Chytil,1999-09-05,C,VAN,196744,filip-chytil
ciharvo01,Vojtech Cihar,2007-03-29,LW,LAK,273562,vojtech-cihar
cirelan01,Anthony Cirelli,1997-07-15,C,TBL,171437,anthony-cirelli
cizikca01,Casey Cizikas,1991-02-27,C,NYI,106989,casey-cizikas
clarada01,Damian Clara,2005-01-13,G,ANA,252163,damian-clara
clarkbr02,Brandt Clarke,2003-02-09,D,LAK,227233,brandt-clarke
clattco01,Connor Clattenburg,2005-05-02,F,EDM,252590,connor-clattenburg
cliftco01,Connor Clifton,1995-04-28,D,PIT,145656,connor-clifton
coghldy01,Dylan Coghlan,1998-02-19,D,VEG,171659,dylan-coghlan
colansa01,Sam Colangelo,2001-12-26,RW,ANA,217617,sam-colangelo
coleia01,Ian Cole,1989-02-21,D,UTA,105381,ian-cole
colembl01,Blake Coleman,1991-11-28,C,CGY,123293,blake-coleman
coltoro01,Ross Colton,1996-09-11,C,COL,177637,ross-colton
commaal01,Alexander Command,2008-06-16,C,NJD,290460,alexander-command
commedr01,Drew Commesso,2002-07-19,G,CHI,217414,drew-commesso
comphj.01,J.T. Compher,1995-04-08,LW,DET,145443,jt-compher
comrier01,Eric Comrie,1995-07-06,G,WPG,132742,eric-comrie
connetr01,Trevor Connelly,2006-02-28,F,VEG,261746,trevor-connelly
connoke01,Kenny Connors,2003-03-10,C,LAK,232201,kenny-connors
connoky01,Kyle Connor,1996-12-09,LW,WPG,160546,kyle-connor
coolede01,Devin Cooley,1997-05-25,G,CGY,179757,devin-cooley
coolelo01,Logan Cooley,2004-05-04,C,UTA,238269,logan-cooley
cootebr01,Braeden Cootes,2007-02-09,C,VAN,265087,braeden-cootes
copleph01,Pheonix Copley,1992-01-18,G,LAK,129834,pheonix-copley
coppan01,Andrew Copp,1994-07-08,C,DET,134193,andrew-copp
cormilu01,Lukas Cormier,2002-03-27,D,VEG,216534,lukas-cormier
coronma01,Matthew Coronato,2002-11-14,RW,CGY,227921,matthew-coronato
cossase01,Sebastian Cossa,2002-11-21,G,UTA,228233,sebastian-cossa
cottepa01,Paul Cotter,1999-11-16,C,NJD,195694,paul-cotter
cournal01,Alexis Cournoyer,2005-12-13,G,MTL,264855,alexis-cournoyer
cousini01,Nick Cousins,1993-07-20,C,OTT,121947,nick-cousins
coutuse01,Sean Couturier,1992-12-07,C,PHI,115908,sean-couturier
coverja01,Jaxon Cover,2008-02-13,RW,OTT,291132,jaxon-cover
cowanea01,Easton Cowan,2005-05-20,RW,TOR,250018,easton-cowan
coylech01,Charlie Coyle,1992-03-02,C,CBJ,127797,charlie-coyle
cozendy01,Dylan Cozens,2001-02-09,C,OTT,197770,dylan-cozens
crevilo01,Louis Crevier,2001-05-04,D,CHI,217748,louis-crevier
cristan01,Andrew Cristall,2005-02-04,LW,WSH,241126,andrew-cristall
crookan01,Angus Crookshank,1999-10-02,LW,NJD,190953,angus-crookshank
crosbsi01,Sidney Crosby,1987-08-07,C,PIT,73288,sidney-crosby
crottca01,Cameron Crotty,1999-05-05,D,OTT,185786,cameron-crotty
crousla01,Lawson Crouse,1997-06-23,LW,UTA,170113,lawson-crouse
crozima01,Maxwell Crozier,2000-04-19,D,TBL,208615,maxwell-crozier
cullewy01,Wyatt Cullen,2008-09-08,LW,NSH,289261,wyatt-cullen
currama01,Maxmilian Curran,2006-08-27,F,COL,270124,maxmilian-curran
cuyllwi01,William Cuylle,2002-02-05,LW,NYR,216311,william-cuylle
czataet01,Ethan Czata,2007-05-29,C,TBL,271121,ethan-czata
daccojo01,Joey Daccord,1996-08-19,G,SEA,182232,joey-daccord
dachco01,Colton Dach,2003-01-04,C,EDM,227279,colton-dach
dachki01,Kirby Dach,2001-01-21,C,MTL,197655,kirby-dach
dadonev01,Evgenii Dadonov,1989-03-12,RW,NJD,96427,evgenii-dadonov
dagenma01,Maddox Dagenais,2008-03-27,C,STL,287740,maddox-dagenais
dahlira01,Rasmus Dahlin,2000-04-13,D,BUF,201658,rasmus-dahlin
danauph01,Phillip Danault,1993-02-24,C,MTL,122605,phillip-danault
danfobe01,Ben Danford,2006-02-06,D,TOR,262218,ben-danford
danfoju01,Justin Danforth,1993-03-15,RW,BUF,127964,justin-danforth
daniena01,Nate Danielson,2004-09-27,C,DET,240683,nate-danielson
dastoch01,Charle-Edouard D'Astous,1998-04-21,D,TBL,186178,charle-edouard-dastous
davidja01,Jared Davidson,2002-07-07,C,MTL,216831,jared-davidson
dawsni01,Nico Daws,2000-12-22,G,NJD,209902,nico-daws
deangan01,Tony DeAngelo,1995-10-24,D,NYI,130876,tony-deangelo
debrial01,Alex DeBrincat,1997-12-18,RW,DET,177559,alex-debrincat
debruja01,Jake DeBrusk,1996-10-17,LW,VAN,170228,jake-debrusk
delbelu01,Luca Del Bel Belluz,2003-11-10,C,CBJ,227236,luca-del-bel-belluz
delgama01,Marc Del Gaizo,1999-10-11,D,NYR,196105,marc-del-gaizo
dellaty01,Ty Dellandrea,2000-07-21,C,SJS,191305,ty-dellandrea
delmaet01,Ethan Del Mastro,2003-01-15,D,CHI,227237,ethan-del-mastro
demeldy01,Dylan DeMelo,1993-05-01,D,WPG,122857,dylan-demelo
demidiv01,Ivan Demidov,2005-12-10,RW,MTL,265407,ivan-demidov
demkoth01,Thatcher Demko,1995-12-08,G,VAN,146146,thatcher-demko
deshavi01,Vincent Desharnais,1996-05-29,D,SJS,177194,vincent-desharnais
desimni01,Nick DeSimone,1994-11-21,D,UTA,165579,nick-desimone
deslani01,Nicolas Deslauriers,1991-02-22,LW,CAR,106623,nicolas-deslauriers
desmica01,Casey DeSmith,1991-08-13,G,DAL,123307,casey-desmith
desnoca01,Caleb Desnoyers,2007-04-11,C,UTA,270395,caleb-desnoyers
devinja01,Jack Devine,2003-10-01,RW,FLA,228210,jack-devine
dewarco01,Connor Dewar,1999-06-26,C,PIT,187314,connor-dewar
dickija01,Jason Dickinson,1995-07-04,C,EDM,145034,jason-dickinson
dickisa01,Sam Dickinson,2006-06-07,D,SJS,252762,sam-dickinson
dillobr01,Brenden Dillon,1990-11-13,D,NJD,106892,brenden-dillon
dimarma01,Matthew DiMarsico,2004-01-07,F,COL,,matthew-dimarsico
dipiemi01,Michael DiPietro,1999-06-09,G,BOS,187458,michael-dipietro
doanjo01,Josh Doan,2002-02-01,RW,BUF,227923,josh-doan
dobesja01,Jakub Dobes,2001-05-27,G,MTL,224483,jakub-dobes
dobsono01,Noah Dobson,2000-01-07,D,MTL,195929,noah-dobson
domima01,Max Domi,1995-03-02,LW,TOR,130519,max-domi
donatry01,Ryan Donato,1996-04-09,C,CHI,175315,ryan-donato
donovjo01,Jorian Donovan,2004-04-05,D,OTT,248704,jorian-donovan
dorofpa01,Pavel Dorofeyev,2000-10-26,LW,VEG,218842,pavel-dorofeyev
dostalu01,Lukáš Dostál,2000-06-22,G,ANA,211453,lukas-dostal
doughdr01,Drew Doughty,1989-12-08,D,LAK,89731,drew-doughty
douglcu01,Curtis Douglas,2000-03-06,C,SEA,195996,curtis-douglas
dowdni01,Nic Dowd,1990-05-27,C,VEG,120928,nic-dowd
dowliju01,Justin Dowling,1990-10-01,C,NYR,99404,justin-dowling
dragilu01,Lukas Dragicevic,2005-04-25,D,SEA,241294,lukas-dragicevic
draisle01,Leon Draisaitl,1995-10-27,C,EDM,160174,leon-draisaitl
driedch01,Chris Driedger,1994-05-18,G,SEA,130642,chris-driedger
driessh01,Sheldon Dries,1994-04-23,C,DET,132699,sheldon-dries
drouijo01,Jonathan Drouin,1995-03-28,LW,STL,148882,jonathan-drouin
druryja01,Jack Drury,2000-02-03,C,COL,196236,jack-drury
drysdja01,Jamie Drysdale,2002-04-08,D,PHI,210519,jamie-drysdale
dubedi01,Dillon Dubé,1998-07-20,C,STL,174606,dillon-dube
duboipi01,Pierre-Luc Dubois,1998-06-24,C,WSH,176718,pierre-luc-dubois
duchema01,Matt Duchene,1991-01-16,C,DAL,106808,matt-duchene
duclaan01,Anthony Duclair,1995-08-26,LW,NYI,143840,anthony-duclair
dudaar01,Artem Duda,2004-04-08,D,UTA,254382,artem-duda
duehrwa01,Walker Duehr,1997-11-23,F,WPG,177788,walker-duehr
duhaibr01,Brandon Duhaime,1997-05-22,RW,WSH,171261,brandon-duhaime
dukedy01,Dylan Duke,2003-03-04,LW,TBL,228211,dylan-duke
dumbama01,Mathew Dumba,1994-07-25,D,PIT,124409,mathew-dumba
dumoubr01,Brian Dumoulin,1991-09-06,D,LAK,120914,brian-dumoulin
dunnejo01,Joshua Dunne,1998-12-08,C,WSH,178129,joshua-dunne
dunnvi02,Vince Dunn,1996-10-29,D,SEA,170118,vince-dunn
durzise01,Sean Durzi,1998-10-21,D,UTA,176789,sean-durzi
dvorach01,Christian Dvorak,1996-02-02,C,PHI,161358,christian-dvorak
dvorsda01,Dalibor Dvorsky,2005-06-15,C,STL,238957,dalibor-dvorsky
eberljo01,Jordan Eberle,1990-05-15,RW,SEA,96639,jordan-eberle
edmunjo01,Joel Edmundson,1993-06-28,D,LAK,130643,joel-edmundson
edstrad01,Adam Edstrom,2000-10-12,C,NYR,218031,adam-edstrom
edstrda01,David Edstrom,2005-02-18,C,VEG,248006,david-edstrom
edvinsi01,Simon Edvinsson,2003-02-05,D,DET,238749,simon-edvinsson
ehlerni01,Nikolaj Ehlers,1996-02-14,LW,CAR,164346,nikolaj-ehlers
eicheja01,Jack Eichel,1996-10-28,C,VEG,158169,jack-eichel
eiserco01,Cole Eiserman,2006-08-29,F,NYI,262565,cole-eiserman
ekblaaa01,Aaron Ekblad,1996-02-07,D,FLA,145037,aaron-ekblad
ekholma01,Mattias Ekholm,1990-05-24,D,EDM,112754,mattias-ekholm
eklunvi01,Victor Eklund,2006-10-03,RW,NYI,265173,victor-eklund
eklunwi01,William Eklund,2002-10-12,LW,SJS,231628,william-eklund
ekmanol01,Oliver Ekman-Larsson,1991-07-17,D,TOR,120283,oliver-ekman-larsson
eliasga01,Gabriel Eliasson,2006-09-09,D,OTT,265174,gabriel-eliasson
elickch01,Charlie Elick,2006-01-17,D,CBJ,251571,charlie-elick
ellerla01,Lars Eller,1989-05-08,C,OTT,105385,lars-eller
ellisco01,Colten Ellis,2000-10-05,G,BUF,197251,colten-ellis
elofsax01,Axel Elofsson,2008-06-03,D,COL,,axel-elofsson
emberty01,Ty Emberson,2000-05-23,D,EDM,196110,ty-emberson
emeryer01,Eric Emery,2006-03-30,D,NYR,262566,eric-emery
engluan01,Andreas Englund,1996-01-21,D,NSH,172935,andreas-englund
engstad01,Adam Engstrom,2003-11-17,D,MTL,244126,adam-engstrom
engvapi01,Pierre Engvall,1996-05-31,LW,NYI,172951,pierre-engvall
entwima01,MacKenzie Entwistle,1999-07-14,RW,PHX,,mackenzie-entwistle
epperkr01,Kristian Epperson,2006-05-16,LW,LAK,262567,kristian-epperson
eriksfi01,Filip Eriksson,2004-11-05,C,MTL,260048,filip-eriksson
eriksjo02,Joel Eriksson Ek,1997-01-29,C,MIN,176330,joel-eriksson-ek
eriksli01,Linus Eriksson,2006-03-23,F/D,FLA,265176,linus-eriksson
ernead01,Adam Erne,1995-04-20,LW,TBL,130888,adam-erne
erssosa01,Samuel Ersson,1999-10-20,G,PHI,210178,samuel-ersson
evanglu01,Luke Evangelista,2002-02-21,RW,NSH,216627,luke-evangelista
evansja02,Jake Evans,1996-06-02,C,MTL,145580,jake-evans
evansry01,Ryker Evans,2001-12-13,D,SEA,216682,ryker-evans
eyssimi01,Michael Eyssimont,1996-09-09,C,BOS,161159,michael-eyssimont
fabbrda01,Dante Fabbro,1998-06-20,D,CBJ,170098,dante-fabbro
fabbrro01,Robby Fabbri,1996-01-22,C,MIN,151737,robby-fabbri
faberbr01,Brock Faber,2002-08-22,D,MIN,217358,brock-faber
faksara01,Radek Faksa,1994-01-09,C,DAL,145039,radek-faksa
fantiad01,Adam Fantilli,2004-10-12,C,CBJ,238272,adam-fantilli
farabjo01,Joel Farabee,2000-02-25,LW,CGY,196111,joel-farabee
farinjo01,John Farinacci,2001-02-14,C,NSH,209996,john-farinacci
faulkju01,Justin Faulk,1992-03-20,D,DET,120974,justin-faulk
fedotiv01,Ivan Fedotov,1996-11-28,G,PHI,180671,ivan-fedotov
feherma01,Martin Fehérváry,1999-10-06,D,WSH,191263,martin-fehervary
fensodo01,Domenick Fensore,2001-09-07,D,COL,209470,domenick-fensore
fernsme01,Melvin Fernstrom,2006-02-28,F,PIT,262393,melvin-fernstrom
ferrama01,Mario Ferraro,1998-09-17,D,SJS,176062,mario-ferraro
fialake01,Kevin Fiala,1996-07-22,LW,LAK,172722,kevin-fiala
fiddlbl01,Blake Fiddler,2007-07-09,D,SEA,270127,blake-fiddler
finkai01,Aiden Fink,2004-11-24,RW,NSH,246282,aiden-fink
finleja01,Jack Finley,2002-09-02,C,UTA,210391,jack-finley
finniem01,Emmitt Finnie,2005-06-27,C,DET,248290,emmitt-finnie
